,name,country_code,country,domains,web_pages
70,Universidade Federal do Maranhão,BR,Brazil,ufma.br,http://www.ufma.br/
71,Universidade Federal de Minas Gerais,BR,Brazil,"ufmg.br,dcc.ufmg.br",http://www.ufmg.br/
72,Universidade Federal dos Vales do Jequitinhonha e Mucuri,BR,Brazil,ufvjm.edu.br,http://www.ufvjm.edu.br
73,Universidade Federal de Itajubá,BR,Brazil,unifei.edu.br,https://unifei.edu.br/
74,Universidade Federal de São João del-Rei,BR,Brazil,ufsj.edu.br,https://www.ufsj.edu.br/
75,Universidade Federal do Triângulo Mineiro,BR,Brazil,uftm.edu.br,http://www.uftm.edu.br/
76,Universidade Federal de Mato Grosso do Sul,BR,Brazil,ufms.br,http://www.ufms.br/
77,Universidade Federal de Mato Grosso,BR,Brazil,ufmt.br,http://www.ufmt.br/
78,Universidade Federal de Ouro Preto,BR,Brazil,ufop.br,http://www.ufop.br/
79,Universidade Federal do Pará,BR,Brazil,ufpa.br,http://www.ufpa.br/
80,Universidade Federal da Paraíba,BR,Brazil,ufpb.br,http://www.ufpb.br/
81,Universidade Federal de Pernambuco,BR,Brazil,ufpe.br,http://www.ufpe.br/
82,Universidade Federal de Pelotas,BR,Brazil,ufpel.tche.br,http://www.ufpel.tche.br/
83,Universidade Federal do Piauí,BR,Brazil,ufpi.br,http://www.ufpi.br/
84,Universidade Federal do Paraná,BR,Brazil,ufpr.br,http://www.ufpr.br/
85,Universidade Federal do Rio Grande do Sul,BR,Brazil,ufrgs.br,http://www.ufrgs.br/
86,Universidade Federal do Rio de Janeiro,BR,Brazil,ufrj.br,http://www.ufrj.br/
87,Universidade Federal do Rio Grande do Norte,BR,Brazil,ufrn.br,http://www.ufrn.br/
88,Universidade Federal Rural de Pernambuco,BR,Brazil,ufrpe.br,http://www.ufrpe.br/
89,Universidade Federal Rural do Rio de Janeiro,BR,Brazil,ufrrj.br,http://www.ufrrj.br/
90,Universidade Federal de Sergipe,BR,Brazil,ufs.br,http://www.ufs.br/
91,Universidade Federal de São Carlos,BR,Brazil,ufscar.br,http://www.ufscar.br/
92,Universidade Federal de Santa Catarina,BR,Brazil,ufsc.br,http://www.ufsc.br/
93,Universidade Federal de Santa Maria,BR,Brazil,ufsm.br,http://www.ufsm.br/
94,Universidade Federal de Uberlândia,BR,Brazil,ufu.br,http://www.ufu.br/
95,Universidade Federal de Viçosa,BR,Brazil,ufv.br,http://www.ufv.br/
96,Universidade Gama Filho,BR,Brazil,ugf.br,http://www.ugf.br/
97,Universidade Luterana do Brasil,BR,Brazil,ulbra.br,http://www.ulbra.br/
98,Universidade de Mogi das Cruzes,BR,Brazil,umc.br,http://www.umc.br/
99,Universidade de Ribeirão Preto,BR,Brazil,unaerp.br,http://www.unaerp.br/
100,Universidade da Amazônia,BR,Brazil,unama.br,http://www.unama.br/
101,Universidade de Brasília,BR,Brazil,unb.br,http://www.unb.br/
102,Universidade do Estado da Bahia,BR,Brazil,uneb.br,http://www.uneb.br/
103,Universidade do Extremo Sul Catarinense,BR,Brazil,unesc.rct-sc.br,http://www.unesc.rct-sc.br/
104,Universidade Estadual Paulista,BR,Brazil,unesp.br,http://www.unesp.br/
105,Universidade de Guarulhos,BR,Brazil,ung.br,http://www.ung.br/
106,Centro Universitário de Araraquara,BR,Brazil,uniara.com.br,http://www.uniara.com.br/
